 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 05/04/2009   17:02:29
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:02:29  |  General  |  Info  |  * Register widget factory 'ScrollView'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'DDContainer'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'Canvas'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  WidgetManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  93
17:02:29  |  General  |  Info  |  * Initialise: InputManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_inputmanager.cpp  |  51
17:02:29  |  General  |  Info  |  InputManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_inputmanager.cpp  |  74
17:02:29  |  General  |  Info  |  * Initialise: SubWidgetManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_subwidgetmanager.cpp  |  33
17:02:29  |  General  |  Info  |  SubWidgetManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_subwidgetmanager.cpp  |  49
17:02:29  |  General  |  Info  |  * Initialise: SkinManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_skinmanager.cpp  |  40
17:02:29  |  General  |  Info  |  SkinManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_skinmanager.cpp  |  46
17:02:29  |  General  |  Info  |  * Initialise: FontManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_fontmanager.cpp  |  43
17:02:29  |  General  |  Info  |  FontManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_fontmanager.cpp  |  47
17:02:29  |  General  |  Info  |  * Initialise: ControllerManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_controllermanager.cpp  |  36
17:02:29  |  General  |  Info  |  ControllerManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_controllermanager.cpp  |  40
17:02:29  |  General  |  Info  |  * Initialise: PointerManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_pointermanager.cpp  |  41
17:02:29  |  General  |  Info  |  PointerManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_pointermanager.cpp  |  50
